id,company,product,country_region,industry,status,skill_type,github_url,stars,skill_count,cli_relevance,china_relevance,leading_reason,notes,checked_at
global-002,Zotero,zotero,Global,科研与文献管理,未发现官方 Skill,应用,https://github.com/zotero/zotero,14650,,低,中,Zotero 主产品领先但暂未发现官方 Agent Skill,社区 CLI 补位,2026-07-06
global-003,Zotero 社区,zotero-cli-cc,Global,科研与文献管理,社区领先,CLI + Skill,https://github.com/Agents365-ai/zotero-cli-cc,184,,高,中,Zotero CLI for Claude Code,非官方,2026-07-06
global-004,Anthropic,Official Claude Skills,US,AI / Agent,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,17,中,低,Claude 官方 Skills 生态,来自 Awesome Agent Skills 统计,2026-07-06
global-005,OpenAI,OpenAI Skills,US,AI / Agent,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,42,高,低,Codex GitHub PR CLI 工作流丰富,来自 Awesome Agent Skills 统计,2026-07-06
global-006,Google Gemini,Gemini Skills,US,AI / Agent,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,4,中,低,Gemini API 和 Vertex AI 开发技能,来自 Awesome Agent Skills 统计,2026-07-06
global-007,Hugging Face,Hugging Face Skills,US/France,AI / 模型平台,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,13,高,低,hf-cli Hub Dataset Training Evaluation,来自 Awesome Agent Skills 统计,2026-07-06
global-008,MiniMax,MiniMax Skills,China,AI / 模型平台,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,11,高,高,MiniMax API CLI 前端与文档生成,来自 Awesome Agent Skills 统计,2026-07-06
global-009,Cloudflare,Cloudflare Skills,US,云边缘与安全,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,8,高,低,Wrangler Workers R2 D1 KV Pages,来自 Awesome Agent Skills 统计,2026-07-06
global-010,Netlify,Netlify Skills,US,Web 部署平台,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,12,高,低,Netlify CLI Functions Edge Deploy,来自 Awesome Agent Skills 统计,2026-07-06
global-011,Vercel,Vercel Skills,US,Web 部署平台,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,3,中,低,Next.js 最佳实践缓存升级,来自 Awesome Agent Skills 统计,2026-07-06
global-012,Google Workspace,Google Workspace CLI Skills,US,企业协作与办公套件,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,17,高,低,gws CLI 管理 Drive Sheets Gmail Calendar Docs Slides,来自 Awesome Agent Skills 统计,2026-07-06
global-013,Notion,Notion Skills,US,知识库与协作,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,8,中,低,Notion 页面数据库与工作流,来自 Awesome Agent Skills 统计,2026-07-06
global-014,Microsoft,Microsoft Skills,US,企业软件与开发平台,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,133,中,低,覆盖多语言和开发栈,.NET Java Python Rust TypeScript 等,2026-07-06
global-015,NVIDIA,NVIDIA Skills,US,硬件半导体与 HPC,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,155,高,低,CUDA-Q DALI NeMo TensorRT-LLM cuOpt Nsight,来自 Awesome Agent Skills 统计,2026-07-06
global-016,Trail of Bits,Trail of Bits Skills,US,安全审计,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,21,中,低,静态分析合约安全差分审计,来自 Awesome Agent Skills 统计,2026-07-06
global-017,Sentry,Sentry Skills,US,可观测与错误监控,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,28,中,低,SDK 安装 Issue 修复 AI Monitoring,来自 Awesome Agent Skills 统计,2026-07-06
global-018,TestMu AI / LambdaTest,TestMu AI Skills,India/US,测试平台,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,48,高,中,Appium Playwright Selenium Cypress HyperExecute,来自 Awesome Agent Skills 统计,2026-07-06
global-019,Stripe,Stripe Skills,US,支付,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,2,中,低,Stripe 集成与 SDK 升级,来自 Awesome Agent Skills 统计,2026-07-06
global-020,Binance,Binance Skills,Global/China,加密金融,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,7,中,高,Binance API 与交易数据,来自 Awesome Agent Skills 统计,2026-07-06
global-021,Coinbase,Coinbase Skills,US,加密金融,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,9,中,低,Coinbase API 与链上工作流,来自 Awesome Agent Skills 统计,2026-07-06
global-022,MongoDB,MongoDB Skills,US,数据库,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,7,中,低,MongoDB 操作与开发,来自 Awesome Agent Skills 统计,2026-07-06
global-023,Redis,Redis Skills,US,数据库,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,1,中,低,Redis 操作与开发,来自 Awesome Agent Skills 统计,2026-07-06
global-024,ClickHouse,ClickHouse Skills,US,数据库与分析,官方,Agent Skill,https://github.com/VoltAgent/awesome-agent-skills,,6,中,低,ClickHouse 查询与数据分析,来自 Awesome Agent Skills 统计,2026-07-06
global-025,DuckDB,DuckDB Skills,Netherlands/Global,本地分析数据库,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,6,高,低,DuckDB CLI 文件读取查询,来自 Awesome Agent Skills 统计,2026-07-06
global-026,Tinybird,Tinybird Skills,Spain/US,实时数据平台,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,4,高,低,Tinybird CLI SQL 数据管道,来自 Awesome Agent Skills 统计,2026-07-06
global-027,Datadog Labs,Datadog Skills,US,可观测,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,8,高,低,pup CLI APM Logs Monitors,来自 Awesome Agent Skills 统计,2026-07-06
global-028,WordPress,WordPress Skills,US/Global,CMS,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,13,高,低,WP-CLI 站点运维内容管理,来自 Awesome Agent Skills 统计,2026-07-06
global-029,Apollo GraphQL,Apollo GraphQL Skills,US,GraphQL 平台,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,13,高,低,Rover CLI Schema 管理 GraphOS,来自 Awesome Agent Skills 统计,2026-07-06
global-030,Brave,Brave Skills,US,浏览器与搜索,官方,CLI + Skill,https://github.com/VoltAgent/awesome-agent-skills,,11,高,低,bx CLI 搜索与浏览器能力,来自 Awesome Agent Skills 统计,2026-07-06
