industry,company,product_or_platform,country_region,official_cli,official_skill,api_sdk_open,data_interface_openness,github_url,notes,checked_at
数字货币交易,Binance / 币安,Binance Skills Hub,Global,CLI/Skill hub 内工具,有,高,高,https://github.com/binance/binance-skills-hub,官方 Skills Hub 面向 AI agents 原生接入 crypto,2026-07-07
数字货币交易,BNB Chain,BNB Chain Skills,Global,MCP 相关工具,有,高,高,https://github.com/bnb-chain/bnbchain-skills,官方 Skills 指导使用 BNB Chain MCP server,2026-07-07
数字货币交易,Coinbase,Agentic Wallet Skills,US,awal / AgentKit 工具链,有,高,高,https://github.com/coinbase/agentic-wallet-skills,官方钱包交易支付 Agent Skills,2026-07-07
数字货币交易,Coinbase Payments MCP,Payments MCP,US,npx installer,有 MCP,高,高,https://github.com/coinbase/payments-mcp,钱包 onramp x402 支付 MCP,2026-07-07
数字货币交易,Coinbase AgentKit,AgentKit,US,SDK/API,相关,高,高,https://github.com/coinbase/agentkit,AI agents 钱包和链上交互工具包,2026-07-07
数字货币交易,Base,Base MCP legacy,US,SDK/MCP,相关,高,高,https://github.com/base/base-mcp-legacy,连接 Base 网络和 Coinbase API 的 MCP,2026-07-07
数字货币交易,OKX,OKX Agent Skills,Global,@okx_ai/okx-trade-cli,有,高,高,https://github.com/okx/agent-skills,官方 OKX Agent Skills,2026-07-07
数字货币交易,OKX Agent Trade Kit,OKX trading MCP,Global,CLI/MCP,有 MCP,高,高,https://github.com/okx/agent-trade-kit,OKX trading MCP server,2026-07-07
数字货币交易,Kraken,Kraken CLI,US,有 kraken-cli,CLI 内置 Agent 场景,高,高,https://github.com/krakenfx/kraken-cli,官方 AI-native CLI 内置 MCP server,2026-07-07
数字货币交易,CoinMarketCap,CoinMarketCap Skills,US/API,API Skills,有,高,高,https://github.com/coinmarketcap-official/skills-for-ai-agents-by-CoinMarketCap,官方 AI Agent Skills 覆盖 crypto DEX exchange market API,2026-07-07
数字货币交易,Uniswap,Uniswap,Global,SDK/API,待复核,高,中高,待补,官方 SDK/API 成熟但 Skill/MCP 官方源需继续确认,2026-07-07
数字货币交易,Bybit,Bybit,Global,API/SDK,未确认官方 Skill,高,中高,待补,官方 Agent Skill/MCP 未确认,2026-07-07
数字货币交易,Bitget,Bitget,Global,API/SDK,未确认官方 Skill,高,中高,待补,官方 Agent Skill/MCP 未确认,2026-07-07
数字货币交易,Gate.io,Gate.io,Global,API/SDK,未确认官方 Skill,高,中高,待补,官方 Agent Skill/MCP 未确认,2026-07-07
数字货币交易,KuCoin,KuCoin,Global,API/SDK,未确认官方 Skill,高,中高,待补,官方 Agent Skill/MCP 未确认,2026-07-07
数字货币交易,BitMEX,BitMEX,Global,API/SDK,未确认官方 Skill,高,中高,待补,衍生品交易 API 成熟但 Agent 入口未确认,2026-07-07
数字货币交易,Deribit,Deribit,Global,API/SDK,未确认官方 Skill,高,中高,待补,期权/衍生品交易 API 成熟但 Agent 入口未确认,2026-07-07
数字货币交易,DefiLlama,DefiLlama,Global,API/数据平台,未确认官方 Skill,高,高,待补,DeFi 数据开放度高 Agent 入口多为社区,2026-07-07
数字货币交易,CoinGecko,CoinGecko,Global,API/SDK,未确认官方 Skill,高,高,待补,价格和市场数据平台 MCP/Skill 官方源需确认,2026-07-07
AI与模型平台,OpenAI,OpenAI Python SDK,US,SDK/API,有,高,高,https://github.com/openai/openai-python,官方 SDK 和 Codex Skill 生态,2026-07-06
AI与模型平台,Anthropic,Anthropic SDK,US,SDK/API,有,高,高,https://github.com/anthropics/anthropic-sdk-python,官方 SDK 和 Claude Skills,2026-07-06
AI与模型平台,Hugging Face,huggingface_hub,US/France,有,有,高,高,https://github.com/huggingface/huggingface_hub,Hub Datasets Spaces,2026-07-06
AI与模型平台,MiniMax,MiniMax Skills,China,CLI/API,有,高,中高,https://github.com/VoltAgent/awesome-agent-skills,MiniMax AI CLI 与 API,2026-07-06
AI与模型平台,阿里云百炼,Model Studio CLI,China,有,未发现,高,中高,https://github.com/modelstudioai/cli,Agent-first CLI,2026-07-06
AI与模型平台,来也 ADP,ADP CLI,China,有,有,中高,中高,https://github.com/laiye-ai/adp-cli,文档解析分类抽取校验,2026-07-06
设计前端移动,Figma,Figma Skills,US,API/Plugin,有,中高,中高,https://github.com/VoltAgent/awesome-agent-skills,设计数据和工作流,2026-07-06
设计前端移动,Angular,Angular Skills,US,有,有,高,高,https://github.com/angular/skills,Angular 官方 Skills,2026-07-06
设计前端移动,Expo,Expo Skills,US,有,有,高,高,https://github.com/VoltAgent/awesome-agent-skills,Expo/EAS 工作流,2026-07-06
设计前端移动,WordPress,WP-CLI Skills,Global,有,有,高,高,https://github.com/VoltAgent/awesome-agent-skills,CMS 运维和内容管理,2026-07-06
